id,label,timeset,grain for green,weight<links>,weight<citations>,cluster,url,score<pub._year>,score<norm._citations>,diverging incentives for afforestation from carbon sequestration: an economic analysis of the eu afforestation program in the south of italy,weight<norm._citations>,weight<total_link_strength>,score<citations>,description
46.0,barta (2012),,,27.0,46.0,7.0,http://dx.doi.org/10.1111/j.1365-2486.2012.02796.x,2012.0,1.8576,,1.8576,60.0,46.0,"<table><tr><td>Authors:</td><td>barta, j; bird, mi; capek, p; goodrick, i; saiz, g; santruckova, h; smernik, r; wurster, c; zimmermann, m</td></tr><tr><td>Title:</td><td>rapid degradation of pyrogenic carbon</td></tr><tr><td>Source:</td><td>global change biology, 18(11), 3306-3316</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
48.0,lin (2012),,,30.0,5.0,2.0,http://dx.doi.org/10.1016/j.forpol.2012.07.009,2012.0,0.2019,,0.2019,45.0,5.0,"<table><tr><td>Authors:</td><td>lin, jc; wang, yc</td></tr><tr><td>Title:</td><td>air quality enhancement zones in taiwan: a carbon reduction benefit assessment</td></tr><tr><td>Source:</td><td>forest policy and economics, 23, 40-45</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
49.0,chen (2012),,,80.0,7.0,1.0,http://dx.doi.org/10.1371/journal.pone.0045668,2012.0,0.2827,,0.2827,123.0,7.0,"<table><tr><td>Authors:</td><td>chen, zz; huang, tq; liu, pl; liu, yl; pan, xj; wang, jy; xiong, zq; zhang, xl</td></tr><tr><td>Title:</td><td>modeling impacts of alternative practices on net global warming potential and greenhouse gas intensity from rice-wheat annual rotation in china</td></tr><tr><td>Source:</td><td>plos one, 7(9)</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
50.0,groom (2012),,,13.0,25.0,2.0,http://dx.doi.org/10.1016/j.biocon.2012.03.002,2012.0,1.0095,,1.0095,17.0,25.0,"<table><tr><td>Authors:</td><td>groom, b; palmer, c</td></tr><tr><td>Title:</td><td>redd+ and rural livelihoods</td></tr><tr><td>Source:</td><td>biological conservation, 154, 42-52</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
51.0,erlach (2012),,,24.0,30.0,4.0,http://dx.doi.org/10.1016/j.energy.2012.01.057,2012.0,1.2114,,1.2114,27.0,30.0,"<table><tr><td>Authors:</td><td>erlach, b; harder, b; tsatsaronis, g</td></tr><tr><td>Title:</td><td>combined hydrothermal carbonization and gasification of biomass with carbon capture</td></tr><tr><td>Source:</td><td>energy, 45(1), 329-338</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
52.0,adhya (2012),,,60.0,59.0,1.0,http://dx.doi.org/10.1016/j.still.2012.05.015,2012.0,2.3825,,2.3825,74.0,59.0,"<table><tr><td>Authors:</td><td>adhya, tk; bhattacharyya, p; manna, mc; neogi, s; rao, ks; roy, ks</td></tr><tr><td>Title:</td><td>effects of rice straw and nitrogen fertilization on greenhouse gas emissions and carbon storage in tropical flooded soil planted with rice</td></tr><tr><td>Source:</td><td>soil & tillage research, 124, 119-130</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
53.0,baker (2012),,,126.0,22.0,3.0,http://dx.doi.org/10.1016/j.agee.2012.07.011,2012.0,0.8884,,0.8884,219.0,22.0,"<table><tr><td>Authors:</td><td>baker, pj; beringer, j; cavagnaro, tr; cunningham, sc; hoogmoed, m; thomson, jr</td></tr><tr><td>Title:</td><td>does afforestation of pastures increase sequestration of soil carbon in mediterranean climates?</td></tr><tr><td>Source:</td><td>agriculture ecosystems & environment, 159, 176-183</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
55.0,abd rahaman (2012),,,29.0,5.0,4.0,http://dx.doi.org/10.1039/c2ra20783d,2012.0,0.2019,,0.2019,43.0,5.0,"<table><tr><td>Authors:</td><td>abd rahaman, ms; cheng, lh; chen, hl; xu, xh; zhang, l</td></tr><tr><td>Title:</td><td>capturing carbon dioxide from air using a fixed carrier facilitated transport membrane</td></tr><tr><td>Source:</td><td>rsc advances, 2(24), 9165-9172</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
56.0,kragt (2012),,,140.0,28.0,1.0,http://dx.doi.org/10.1016/j.agsy.2012.06.005,2012.0,1.1307,,1.1307,220.0,28.0,"<table><tr><td>Authors:</td><td>kragt, me; pannell, dj; robertson, mj; thamo, t</td></tr><tr><td>Title:</td><td>assessing costs of soil carbon sequestration by crop-livestock farmers in western australia</td></tr><tr><td>Source:</td><td>agricultural systems, 112, 27-37</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
57.0,chen (2012),,,25.0,14.0,3.0,http://dx.doi.org/10.1016/j.foreco.2012.06.016,2012.0,0.5653,,0.5653,32.0,14.0,"<table><tr><td>Authors:</td><td>chen, jx; colombo, sj; elkie, pc; heath, ls; maclean, hl; mckechnie, j; ter-mikaelian, mt</td></tr><tr><td>Title:</td><td>forest protection and forest harvest as strategies for ecological sustainability and climate change mitigation</td></tr><tr><td>Source:</td><td>forest ecology and management, 281, 140-151</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
58.0,balthazar (2012),,,115.0,27.0,3.0,http://dx.doi.org/10.1007/s10980-012-9755-y,2012.0,1.0903,,1.0903,192.0,27.0,"<table><tr><td>Authors:</td><td>balthazar, v; daniels, ae; hall, jm; lambin, ef; van holt, t</td></tr><tr><td>Title:</td><td>trade-offs between tree cover, carbon storage and floristic biodiversity in reforesting landscapes</td></tr><tr><td>Source:</td><td>landscape ecology, 27(8), 1135-1147</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
59.0,berntsson (2012),,,9.0,11.0,6.0,http://dx.doi.org/10.1016/j.energy.2012.05.028,2012.0,0.4442,,0.4442,20.0,11.0,"<table><tr><td>Authors:</td><td>berntsson, t; jonsson, j</td></tr><tr><td>Title:</td><td>analysing the potential for implementation of ccs within the european pulp and paper industry</td></tr><tr><td>Source:</td><td>energy, 44(1), 641-648</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
60.0,dri (2012),,,16.0,50.0,4.0,http://dx.doi.org/10.1016/j.apenergy.2012.06.049,2012.0,2.0191,,2.0191,30.0,50.0,"<table><tr><td>Authors:</td><td>dri, m; hall, mr; maroto-valer, m; sanna, a</td></tr><tr><td>Title:</td><td>waste materials for carbon capture and storage by mineralisation (ccsm) - a uk perspective</td></tr><tr><td>Source:</td><td>applied energy, 99, 545-554</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
61.0,chary (2012),,,119.0,8.0,1.0,http://dx.doi.org/10.4141/cjss2011-098,2012.0,0.3231,,0.3231,190.0,8.0,"<table><tr><td>Authors:</td><td>chary, gr; jain, mp; kundu, s; lal, r; sharma, ra; sharma, sk; singh, ak; srinivasarao, c; venkateswarlu, b; vittal, kpr</td></tr><tr><td>Title:</td><td>sustaining agronomic productivity and quality of a vertisolic soil (vertisol) under soybean-safflower cropping system in semi-arid central india</td></tr><tr><td>Source:</td><td>canadian journal of soil science, 92(5), 771-785</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
62.0,brennan (2012),,,107.0,101.0,4.0,http://dx.doi.org/10.1073/pnas.1108765109,2012.0,4.0785,,4.0785,279.0,101.0,"<table><tr><td>Authors:</td><td>brennan, s; lackner, ks; matter, jm; park, aha; van der zwaan, b; wright, a</td></tr><tr><td>Title:</td><td>the urgency of the development of co2 capture from ambient air</td></tr><tr><td>Source:</td><td>proceedings of the national academy of sciences of the united states of america, 109(33), 13156-13162</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
63.0,gebald (2012),,,41.0,30.0,4.0,http://dx.doi.org/10.1021/es301953k,2012.0,1.2114,,1.2114,258.0,30.0,"<table><tr><td>Authors:</td><td>gebald, c; piatkowski, n; steinfeld, a; wurzbacher, ja</td></tr><tr><td>Title:</td><td>concurrent separation of co2 and h2o from air by a temperature-vacuum swing adsorption/desorption cycle</td></tr><tr><td>Source:</td><td>environmental science & technology, 46(16), 9191-9198</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
64.0,fenner (2012),,,128.0,21.0,1.0,http://dx.doi.org/10.1098/rsta.2012.0105,2012.0,0.848,,0.848,153.0,21.0,"<table><tr><td>Authors:</td><td>fenner, n; freeman, c; shirsat, ah</td></tr><tr><td>Title:</td><td>peatland geoengineering: an alternative approach to terrestrial carbon sequestration</td></tr><tr><td>Source:</td><td>philosophical transactions of the royal society a-mathematical physical and engineering sciences, 370(1974), 4404-4421</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
65.0,holmes (2012),,,46.0,18.0,4.0,http://dx.doi.org/10.1098/rsta.2012.0137,2012.0,0.7269,,0.7269,90.0,18.0,"<table><tr><td>Authors:</td><td>holmes, g; keith, dw</td></tr><tr><td>Title:</td><td>an air-liquid contactor for large-scale capture of co2 from air</td></tr><tr><td>Source:</td><td>philosophical transactions of the royal society a-mathematical physical and engineering sciences, 370(1974), 4380-4403</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
66.0,lenton (2012),,,78.0,4.0,4.0,http://dx.doi.org/10.1098/rsta.2012.0188,2012.0,0.1615,,0.1615,150.0,4.0,"<table><tr><td>Authors:</td><td>lenton, tm; vaughan, ne</td></tr><tr><td>Title:</td><td>interactions between reducing co2 emissions, co2 removal and solar radiation management</td></tr><tr><td>Source:</td><td>philosophical transactions of the royal society a-mathematical physical and engineering sciences, 370(1974), 4343-4364</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
67.0,turley (2012),,,125.0,17.0,4.0,http://dx.doi.org/10.1098/rsta.2012.0167,2012.0,0.6865,,0.6865,235.0,17.0,"<table><tr><td>Authors:</td><td>turley, c; williamson, p</td></tr><tr><td>Title:</td><td>ocean acidification in a geoengineering context</td></tr><tr><td>Source:</td><td>philosophical transactions of the royal society a-mathematical physical and engineering sciences, 370(1974), 4317-4342</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
68.0,goedhart (2012),,,35.0,9.0,4.0,http://dx.doi.org/10.1371/journal.pone.0042098,2012.0,0.3634,,0.3634,43.0,9.0,"<table><tr><td>Authors:</td><td>goedhart, pw; knops, p; steenhuizen, jw; ten berge, hfm; van der meer, hg; verhagen, j</td></tr><tr><td>Title:</td><td>olivine weathering in soil, and its effects on growth and nutrient uptake in ryegrass (lolium perenne l.): a pot experiment</td></tr><tr><td>Source:</td><td>plos one, 7(8)</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
69.0,borgnis (2012),,,22.0,35.0,3.0,http://dx.doi.org/10.1007/s12237-012-9508-9,2012.0,1.4134,,1.4134,28.0,35.0,"<table><tr><td>Authors:</td><td>borgnis, el; callaway, jc; milan, cs; turner, re</td></tr><tr><td>Title:</td><td>carbon sequestration and sediment accretion in san francisco bay tidal wetlands</td></tr><tr><td>Source:</td><td>estuaries and coasts, 35(5), 1163-1181</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
70.0,wang (2012),,,87.0,16.0,3.0,http://dx.doi.org/10.3724/sp.j.1227.2012.00241,2012.0,0.6461,,0.6461,123.0,16.0,"<table><tr><td>Authors:</td><td>wang, yj; xie, zk; zhang, lh; zhao, rf</td></tr><tr><td>Title:</td><td>the impact of land use change on soil organic carbon and labile organic carbon stocks in the longzhong region of loess plateau</td></tr><tr><td>Source:</td><td>journal of arid land, 4(3), 241-250</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
73.0,rissman (2012),,,49.0,8.0,2.0,http://dx.doi.org/10.1016/j.envsci.2012.04.006,2012.0,0.3231,,0.3231,61.0,8.0,"<table><tr><td>Authors:</td><td>rissman, ar; rittenhouse, cd</td></tr><tr><td>Title:</td><td>forest cover, carbon sequestration, and wildlife habitat: policy review and modeling of tradeoffs among land-use change scenarios</td></tr><tr><td>Source:</td><td>environmental science & policy, 21, 94-105</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
