id,label,timeset,grain for green,weight<links>,weight<citations>,cluster,url,score<pub._year>,green town,score<norm._citations>,diverging incentives for afforestation from carbon sequestration: an economic analysis of the eu afforestation program in the south of italy,beijing-tianjin sandstorm source control,weight<norm._citations>,weight<total_link_strength>,stimulated,score<citations>,description
49.0,joos (1991),,,101.0,79.0,5.0,http://dx.doi.org/10.1038/349772a0,1991.0,,3.0599,,,3.0599,163.0,,79.0,"<table><tr><td>Authors:</td><td>joos, f; sarmiento, jl; siegenthaler, u</td></tr><tr><td>Title:</td><td>estimates of the effect of southern-ocean iron fertilization on atmospheric co2 concentrations</td></tr><tr><td>Source:</td><td>nature, 349(6312), 772-775</td></tr><tr><td>Year:</td><td>1991</td></tr></table>"
51.0,broecker (1991),,,51.0,68.0,5.0,http://dx.doi.org/10.1038/349227a0,1991.0,,2.6338,,,2.6338,70.0,,68.0,"<table><tr><td>Authors:</td><td>broecker, ws; peng, th</td></tr><tr><td>Title:</td><td>dynamic limitations on the antarctic iron fertilization strategy</td></tr><tr><td>Source:</td><td>nature, 349(6306), 227-229</td></tr><tr><td>Year:</td><td>1991</td></tr></table>"
52.0,no author data (2017),,,77.0,1.0,3.0,http://dx.doi.org/10.1098/rsbl.2016.0859,2017.0,,1.8462,,,1.8462,151.0,,1.0,"<table><tr><td>Title:</td><td>accelerating the carbon cycle: the ethics of enhanced weathering</td></tr><tr><td>Source:</td><td>biology letters, 13(4)</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"
53.0,hartmann (2017),,,66.0,0.0,3.0,http://dx.doi.org/10.1021/acs.est.605942,2017.0,,0.0,,,0.0,142.0,,0.0,"<table><tr><td>Authors:</td><td>hartmann, j; knops, p; leermakers, m; meysman, fjr; montserrat, f; renforth, p</td></tr><tr><td>Title:</td><td>olivine dissolution in seawater: implications for co2 sequestration through enhanced weathering in coastal environments</td></tr><tr><td>Source:</td><td>environmental science & technology, 51(7), 3960-3972</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"
54.0,brilman (2017),,,111.0,0.0,6.0,http://dx.doi.org/10.1021/acs.iecr.6b04645,2017.0,,0.0,,,0.0,429.0,,0.0,"<table><tr><td>Authors:</td><td>brilman, dwf; delgado, jdlp; qian, y; veneman, r</td></tr><tr><td>Title:</td><td>stability of a benzyl amine based co2 capture adsorbent in view of regeneration strategies</td></tr><tr><td>Source:</td><td>industrial & engineering chemistry research, 56(12), 3259-3269</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"
55.0,chuang (2017),,,80.0,1.0,6.0,http://dx.doi.org/10.1002/ente.201600685,2017.0,,1.8462,,,1.8462,237.0,,1.0,"<table><tr><td>Authors:</td><td>chuang, ssc; zhai, yx</td></tr><tr><td>Title:</td><td>the nature of adsorbed carbon dioxide on immobilized amines during carbon dioxide capture from air and simulated flue gas</td></tr><tr><td>Source:</td><td>energy technology, 5(3), 510-519</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"
56.0,carter (2017),,,178.0,0.0,6.0,http://dx.doi.org/10.1021/acs.accounts.6b00479,2017.0,,0.0,,,0.0,284.0,,0.0,"<table><tr><td>Authors:</td><td>carter, ea; senftle, tp</td></tr><tr><td>Title:</td><td>the holy grail: chemistry enabling an economically viable co2 capture, utilization, and storage strategy</td></tr><tr><td>Source:</td><td>accounts of chemical research, 50(3), 472-475</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"
57.0,borges (2016),,,29.0,0.0,3.0,http://dx.doi.org/10.1590/0104-6632.20160334s20140149,2016.0,,0.0,,,0.0,30.0,,0.0,"<table><tr><td>Authors:</td><td>borges, gc; chan, wn; sugiyama, mi; walter, a</td></tr><tr><td>Title:</td><td>assessment of co2 emission mitigation for a brazilian oil refinery</td></tr><tr><td>Source:</td><td>brazilian journal of chemical engineering, 33(4), 835-850</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"
58.0,jones (2017),,,92.0,0.0,6.0,http://dx.doi.org/10.1021/jacs.7b00235,2017.0,,0.0,,,0.0,410.0,,0.0,"<table><tr><td>Authors:</td><td>jones, cw; lee, lc; liyely, rp; pang, sh; sakwa-novak, ma</td></tr><tr><td>Title:</td><td>design of aminopolymer structure to enhance performance and stability of co2 sorbents: poly(propylenimine) vs poly(ethylenimine)</td></tr><tr><td>Source:</td><td>journal of the american chemical society, 139(10), 3627-3630</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"
59.0,guo (2017),,,80.0,0.0,6.0,http://dx.doi.org/10.1039/c6dt04751c,2017.0,,0.0,,,0.0,96.0,,0.0,"<table><tr><td>Authors:</td><td>guo, fs; wang, yy; zhang, k</td></tr><tr><td>Title:</td><td>two {dy-2} single-molecule magnets formed via an in situ reaction by capturing co2 from atmosphere under ambient conditions</td></tr><tr><td>Source:</td><td>dalton transactions, 46(6), 1753-1756</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"
60.0,dai (2017),,,112.0,1.0,6.0,http://dx.doi.org/10.1016/j.cej.2016.12.004,2017.0,,1.8462,,,1.8462,421.0,,1.0,"<table><tr><td>Authors:</td><td>dai, s; huang, k; jones, cw; liu, fj; okonkwo, c; tao, dj; yoo, cj</td></tr><tr><td>Title:</td><td>facilely synthesized meso-macroporous polymer as support of poly (ethyleneimine) for highly efficient and selective capture of co2</td></tr><tr><td>Source:</td><td>chemical engineering journal, 314, 466-476</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"
61.0,custelcean (2017),,,174.0,0.0,6.0,http://dx.doi.org/10.1002/anie.201610916,2017.0,,0.0,,,0.0,568.0,,0.0,"<table><tr><td>Authors:</td><td>custelcean, r; kidder, mk; seipp, ca; williams, nj</td></tr><tr><td>Title:</td><td>co2 capture from ambient air by crystallization with a guanidine sorbent</td></tr><tr><td>Source:</td><td>angewandte chemie-international edition, 56(4), 1042-1045</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"
62.0,clemens (2017),,,18.0,0.0,3.0,http://dx.doi.org/10.1002/ceat.201600233,2017.0,,0.0,,,0.0,32.0,,0.0,"<table><tr><td>Authors:</td><td>clemens, a; klemm, m; meisel, k; zeymer, m</td></tr><tr><td>Title:</td><td>technical, economic, and environmental assessment of the hydrothermal carbonization of green waste</td></tr><tr><td>Source:</td><td>chemical engineering & technology, 40(2), 260-269</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"
63.0,fang (2017),,,155.0,0.0,1.0,http://dx.doi.org/10.1038/srep42328,2017.0,,0.0,,,0.0,202.0,,0.0,"<table><tr><td>Authors:</td><td>fang, sb; guo, k; ji, yh; wang, sd; wang, zg; xu, xn</td></tr><tr><td>Title:</td><td>long-term growth of temperate broadleaved forests no longer benefits soil c accumulation</td></tr><tr><td>Source:</td><td>scientific reports, 7</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"
64.0,anderies (2017),,,121.0,0.0,3.0,http://dx.doi.org/10.1038/srep42061,2017.0,,0.0,,,0.0,169.0,,0.0,"<table><tr><td>Authors:</td><td>anderies, jm; janssen, ma; mathias, jd</td></tr><tr><td>Title:</td><td>on our rapidly shrinking capacity to comply with the planetary boundaries on climate change</td></tr><tr><td>Source:</td><td>scientific reports, 7</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"
